date wind precip sunshine clouds pressure temperature
2023-11-03 3.9 0 1.7 7.9 975.5 9.4
2023-11-04 4.9 1.7 6.2 6.4 976.2 8
2023-11-05 6 5.2 0.6 7.4 969.7 9.8
2023-11-06 6.4 0 2.8 6.2 988.5 10.4
2023-11-07 5.2 0.5 4.1 4.5 998.1 8.8
2023-11-08 5.5 0.8 1.5 7 1000 8
2023-11-09 5.2 0 0 8 993.1 9.2
2023-11-10 4.5 0 0.7 6.7 988.7 8
2023-11-11 3.4 1.2 0.1 7 990.1 5.4
2023-11-12 2.9 3.1 0 7.8 995.2 6
2023-11-13 4.3 5.8 5 7 993.7 6.5
2023-11-14 7.5 2.5 1 6.5 987.7 10.2
2023-11-15 5.3 1.6 2.3 7.4 997.4 7.4
2023-11-16 5 0.2 1.7 7 999.5 5.6
2023-11-17 5.8 0.5 0 7.8 1003.7 3.7
2023-11-18 3.2 9.7 0.2 7.7 1011.1 3.8
2023-11-19 5.5 13.8 1.5 7.3 995.9 7.6
2023-11-20 4.1 26.4 0 7.7 994.5 9.2
2023-11-21 3.7 0 0 7.3 1004.3 3.7
2023-11-22 2.8 0 6 4.9 1015.5 -1.1
2023-11-23 9 2.1 0 7.7 998.5 6.9
2023-11-24 8 1.8 2.9 6.5 987.1 4
2023-11-25 4.5 3.6 1 6.9 992.6 0.6
2023-11-26 2.8 0 4.6 6.5 1000 -0.3
2023-11-27 3.7 6.6 0 7.9 993.1 -0.1
2023-11-28 4 0.5 2.4 5.9 989.5 -2
2023-11-29 5.3 1.3 0 7.9 989.8 -1.7
2023-11-30 2.5 0 2.3 6.8 991.7 -2.7
2023-12-01 2 0 0.1 7.7 994.9 -5
2023-12-02 3.1 0 0 8 999.4 -4.5
2023-12-03 3.5 0 0 6.9 1008.6 -2.9
2023-12-04 4.3 0 0 7.6 1004.6 -3.2
2023-12-05 5.2 1.7 0 7.9 997.4 -1.4
2023-12-06 3.5 2 0 7.8 1000.3 0.4
2023-12-07 2.4 0.1 0 7.9 1007.5 0.7
2023-12-08 3.8 1.8 0 7.9 1001.8 0.5
2023-12-09 3.9 4.4 0.3 7.9 997.2 2.4
2023-12-10 5.7 8.5 0.1 7.7 990.4 5.1
2023-12-11 6.4 15.9 0.1 7.6 986.6 7.4
2023-12-12 4.1 8.6 2.1 7.5 994.2 5.4
2023-12-13 3.7 4.9 0 7.9 988.8 4.6
2023-12-14 2.2 0 0 8 1003.3 2.9
2023-12-15 3.7 0.3 0 7.8 1019 3
2023-12-16 5.8 0 1.8 7.8 1023.1 7
2023-12-17 6 0 2.3 6.8 1020.5 7.2
2023-12-18 6 0 0.1 6.9 1015.6 5.6
