Date	APPLE	AMAZON	FORD	GOOGLE	MICROSOFT	VOLKSWAGEN
2007-04-30	3.038261	3.0665	5.251588	11.740494	21.760202	NA
2007-05-01	3.028215	3.102	5.258121	11.681216	22.094526	NA
2007-05-02	3.056222	3.059	5.336502	11.601017	22.247154	NA
2007-05-03	3.056527	3.1095	5.349566	11.786571	22.508808	NA
2007-05-04	3.069009	3.1615	5.369161	11.734018	22.210823	NA
2007-05-07	3.163689	3.041	5.32997	11.638127	22.319836	NA
2007-05-08	3.198394	3.0915	5.467139	11.62667	22.348907	NA
2007-05-09	3.253801	3.1425	5.454075	11.687443	22.370714	NA
2007-05-10	3.267805	3.046	5.382225	11.493669	22.225357	NA
2007-05-11	3.310426	3.078	5.467139	11.624927	22.450661	NA
2007-05-14	3.329301	3.085	5.689221	11.50139	22.508808	NA
2007-05-15	3.273284	3.029	5.819858	11.407243	22.530672	NA
2007-05-16	3.267805	3.161	5.721879	11.771129	22.654638	NA
2007-05-17	3.331736	3.1085	5.721879	11.730033	22.589012	NA
2007-05-18	3.349393	3.165	5.676158	11.714093	22.479633	NA
2007-05-21	3.409063	3.415	5.734944	11.721067	22.640051	NA
2007-05-22	3.456554	3.444	5.669626	11.852076	22.377558	NA
2007-05-23	3.436767	3.45	5.721879	11.805002	22.297352	NA
2007-05-24	3.36979	3.4675	5.545521	11.813968	21.998404	NA
2007-05-25	3.45899	3.4275	5.519393	12.04286	22.224434	NA
2007-05-29	3.481215	3.4815	5.486735	12.132275	22.450476	NA
2007-05-30	3.615775	3.493	5.552052	12.418453	22.683796	NA
2007-05-31	3.689447	3.457	5.447543	12.401267	22.377558	NA
2007-06-01	3.604509	3.429	5.454075	12.463285	22.304646	NA
2007-06-04	3.693709	3.521	5.40182	12.629412	22.399433	NA
2007-06-05	3.734502	3.6825	5.427947	12.922563	22.297352	NA
2007-06-06	3.764034	3.6145	5.39529	12.907868	22.085897	NA
2007-06-07	3.777123	3.602	5.264653	12.828416	21.597368	NA
2007-06-08	3.789911	3.662	5.382225	12.839126	21.91091	NA
2007-06-11	3.659003	3.5585	5.486735	12.735763	21.889025	NA
2007-06-12	3.664788	3.5035	5.434481	12.572127	21.765078	NA
2007-06-13	3.577111	3.5445	5.591244	12.583833	22.158806	NA
2007-06-14	3.615165	3.597	5.656561	12.524057	22.253605	NA
2007-06-15	3.668441	3.62	5.826391	12.600022	22.23173	NA
2007-06-18	3.808177	3.5915	5.780668	12.831903	22.246305	NA
2007-06-19	3.764643	3.4905	5.65003	12.809736	22.209848	NA
2007-06-20	3.700406	3.455	5.787199	12.701641	21.881741	NA
2007-06-21	3.771948	3.4835	5.819858	12.804755	22.034859	NA
2007-06-22	3.74455	3.443	5.963558	13.07549	21.502581	NA
2007-06-25	3.724459	3.433	5.898241	13.136262	21.502581	NA
2007-06-26	3.642565	3.374	5.852516	13.206997	21.524454	NA
2007-06-27	3.710757	3.407	6.061536	13.108118	21.779654	NA
2007-06-28	3.670268	3.4445	6.198703	13.076237	21.750488	NA
2007-06-29	3.715324	3.4205	6.152981	13.018703	21.487999	NA
2007-07-02	3.69158	3.4805	6.296682	13.209986	21.68487	NA
2007-07-03	3.871501	3.4725	6.152981	13.308616	21.889025	NA
2007-07-05	4.041374	3.4365	5.976623	13.490185	21.867153	NA
2007-07-06	4.027673	3.4485	5.950494	13.434644	21.852571	NA
2007-07-09	3.967702	3.6035	5.930898	13.513349	21.779654	NA
2007-07-10	4.029197	3.514	5.93743	13.532776	21.385916	NA
2007-07-11	4.030413	3.5365	5.813326	13.56092	21.502581	NA
2007-07-12	4.08156	3.6395	5.852516	13.58234	21.925486	NA
2007-07-13	4.192984	3.755	5.859048	13.752452	21.743196	NA
2007-07-16	4.204247	3.6845	5.787199	13.773125	21.896322	NA
2007-07-17	4.228906	3.6895	5.702286	13.823187	22.443176	NA
2007-07-18	4.204854	3.666	5.636966	13.686201	22.545267	NA
2007-07-19	4.26209	3.6675	5.636966	13.663536	22.975464	NA
2007-07-20	4.376253	3.5815	5.486735	12.954444	22.720259	NA
2007-07-23	4.374731	3.587	5.525927	12.764904	22.74213	NA
2007-07-24	4.106523	3.4625	5.39529	12.802015	22.457775	NA
2007-07-25	4.178674	4.309	5.205867	12.696411	22.392138	NA
2007-07-26	4.44475	4.2005	5.28425	12.652575	21.859858	NA
2007-07-27	4.379296	4.202	5.375695	12.749462	21.429668	NA
2007-07-30	4.305623	4.135	5.708816	12.854568	21.436956	NA
2007-07-31	4.011235	3.927	5.558586	12.702388	21.138004	NA
2007-08-01	4.109871	3.8655	5.50633	12.775614	21.364044	NA
2007-08-02	4.155234	3.9855	5.486735	12.727544	21.524454	NA
2007-08-03	4.013976	3.84	5.264653	12.528042	21.116127	NA
2007-08-06	4.117483	3.95	5.349566	12.702388	21.539038	NA
2007-08-07	4.110787	3.957	5.421416	12.852326	21.546335	NA
2007-08-08	4.079731	3.889	5.793732	13.095415	21.874439	NA
2007-08-09	3.847754	3.7055	5.47367	12.820197	21.364044	NA
2007-08-10	3.805437	3.739	5.375695	12.845602	20.93384	NA
2007-08-13	3.890376	3.7435	5.467139	12.839375	20.875504	NA
2007-08-14	3.775907	3.6725	5.271184	12.667519	20.685272	NA
2007-08-15	3.650175	3.619	5.225462	12.392301	20.560875	NA
2007-08-16	3.563411	3.6395	5.029506	12.242114	20.348686	NA
2007-08-17	3.715934	3.751	5.114419	12.454318	20.670641	NA
2007-08-20	3.720805	3.735	5.225462	12.401516	20.677944	NA
2007-08-21	3.883675	3.8745	5.173207	12.617955	20.538925	NA
2007-08-22	4.034067	3.925	5.127483	12.770882	20.648687	NA
2007-08-23	3.990227	3.865	5.062165	12.756934	20.707218	NA
2007-08-24	4.119006	3.9625	5.160143	12.826922	21.080393	NA
2007-08-27	4.026152	3.9325	5.094825	12.783584	20.846251	NA
2007-08-28	3.860843	3.811	4.905402	12.612724	20.436487	NA
2007-08-29	4.081862	3.9525	5.04257	12.774119	20.919415	NA
2007-08-30	4.147925	3.934	5.009911	12.737258	20.816977	NA
2007-08-31	4.215816	3.9955	5.101357	12.833148	21.02186	NA
2007-09-04	4.388733	4.135	5.21893	13.079724	21.080393	NA
2007-09-05	4.163454	4.1875	5.07523	13.145727	20.838926	NA
2007-09-06	4.110177	4.3105	5.081762	13.039126	21.153566	NA
2007-09-07	4.011539	4.226	4.911932	12.935265	20.80966	NA
2007-09-10	4.161933	4.167	4.911932	12.81397	20.838926	NA
2007-09-11	4.12479	4.314	4.951124	12.984581	21.168196	NA
2007-09-12	4.166193	4.365	4.898871	13.017457	21.168196	NA
2007-09-13	4.176846	4.363	5.173207	13.070509	21.336485	NA
2007-09-14	4.225862	4.3885	5.245057	13.169388	21.248682	NA
2007-09-17	4.213682	4.3455	5.408353	13.08346	21.02186	NA
2007-09-18	4.290096	4.4375	5.499798	13.331779	21.168196	NA
2007-09-19	4.285531	4.45	5.486735	13.620198	20.977949	NA
2007-09-20	4.271527	4.4825	5.388758	13.76914	20.795023	NA
2007-09-21	4.38843	4.565	5.375695	13.950211	20.963322	NA
2007-09-24	4.51416	4.6295	5.538989	14.147472	21.277945	NA
2007-09-25	4.663335	4.674	5.447543	14.17188	21.629166	NA
2007-09-26	4.650853	4.6715	5.800264	14.150959	21.585258	NA
2007-09-27	4.70352	4.669	5.636966	14.13452	21.57795	NA
2007-09-28	4.672163	4.6575	5.545521	14.128792	21.555994	NA
2007-10-01	4.759536	4.6705	5.375695	14.509365	21.782822	NA
2007-10-02	4.823772	4.618	5.597776	14.555194	21.731609	NA
2007-10-03	4.807637	4.623	5.50633	14.545978	21.548683	NA
2007-10-04	4.756491	4.613	5.39529	14.421694	21.738916	NA
2007-10-05	4.915102	4.6715	5.467139	14.795792	21.834051	NA
2007-10-08	5.111768	4.7925	5.349566	15.183588	21.834051	NA
2007-10-09	5.110247	4.766	5.434481	15.322069	22.024282	NA
2007-10-10	5.077671	4.733	5.375695	15.576366	22.119411	NA
2007-10-11	4.938849	4.467	5.721879	15.491932	21.885258	NA
2007-10-12	5.091674	4.6185	6.009281	15.875246	22.075508	NA
2007-10-15	5.083453	4.5265	5.872112	15.444859	21.980385	NA
2007-10-16	5.162608	4.4765	5.734944	15.342493	22.185261	NA
2007-10-17	5.259112	4.5275	5.676158	15.777861	22.741352	NA
2007-10-18	5.281947	4.4925	5.721879	15.930787	22.799896	NA
2007-10-19	5.188181	4.488	5.467139	16.057562	22.075508	NA
2007-10-22	5.308127	4.5645	5.447543	16.207998	22.324286	NA
